title,summary,link
Tunnel discovered under Mexican prison near U.S. border,"Mexican authorities discovered a tunnel connecting a prison to a house along the Texas-Mexico border over the weekend, according to local media reports.",http://www.bbc.co.uk/news/world-us-canada-39988492
US-Mexico border apprehensions hit 17-year lows,"The number of people stopped from illegally crossing the Southern border was down roughly 9% in April, according to the new data released Tuesday by US Customs and Border Protection",http://www.bbc.co.uk/news/uk-39984752
Trump’s Wall May Threaten Thousands of Plant and Animal Species on the U.S.–Mexico Border,"The region—called the Sky Islands—harbors more than 7,000 species, many of which struggle to cross human-made obstructions",http://www.bbc.co.uk/news/election-2017-39988638
Top drug cartel leaders killed in Mexico near US border,"Two leaders of rival drug cartels have been killed in clashes with federal forces, officials said. Their deaths have caused unrest in a Mexican border town, with cartel supporters blocking roads and torching businesses.",http://www.bbc.co.uk/news/world-middle-east-39987338
Mexico’s Government Warns U.S.A. to Not Build Border Walls,"The foreign secretary said Mexico is planning a legal fight, and it has no intention to pay for any border walls or to cooperate with the U.S. in any way on the development of border walls",http://www.bbc.co.uk/news/election-2017-39986835
Experts on drug trade say U.S.-Mexico border won’t stop illegal drugs; they come through checkpoints,"Experts on the drug trade say a U.S.-Mexico border wall will do little to stop the flow of illegal drugs into the U.S., Christopher Ingraham reports for The Washington Post. That’s because it’s a myth that the majority of drugs are transported across the border through rural and remote areas. Most drugs are actually driven across the border at checkpoints.",http://www.bbc.co.uk/news/world-africa-39987271
72 hours of crime on the San Diego-Tijuana border,"People aren’t crossing in large groups, there are not hundreds amassing and running on freeways. People are trying to elude law enforcement rather than overwhelm from law enforcement",http://www.bbc.co.uk/news/uk-39984887
Top Mexican official promises funds to provide legal defense to immigrants,"Luis Videgaray, Mexicos foreign relations minister, pledged Wednesday in Dallas that his government will legally defend immigrants against Texas tough new ""sanctuary cities"" law",http://www.bbc.co.uk/news/uk-england-derbyshire-39986056
Southern Border Plan: Mexicos own fight against illegal immigration,"With his promise to build a wall between the US and Mexico, Donald Trump has made combatting illegal immigration a pillar of his presidency. But Mexico is already the USs firm ally in trying to push back immigration. Since its Southern Border Plan was launched in 2014, Mexico has deported around 150,000 Central American migrants each year - even though many of them are fleeing extreme violence back home. Our correspondents report from the Mexico-Guatemala border",http://www.bbc.co.uk/news/uk-england-london-39985479
200 Refugees Are Crossing Mexico to Escape Violence—and to Confront Trump,"At this moment, a group of 200 refugees fleeing violence and gangs in Central America are heading north through Mexico in hopes of seeking asylum when they reach the US border later this week",http://www.bbc.co.uk/news/uk-wales-south-east-wales-39936477
"New Spending Bill Impacts Mexican Wall, Sanctuary Cities And EB-5 Investor Immigration","Firstly, while the bill beefed up enforcement, it did not provide funding for construction of the border wall with Mexico, as President Trump had asked",http://www.bbc.co.uk/news/entertainment-arts-39987268
The Scramble for Post-ISIS Syria Has Officially Begun,A rare strike on Assad regime and its allies signals new dynamics in a long war.,http://www.bbc.co.uk/news/uk-39987151
"IS Kills Villagers, Anti-Jihadists in Eastern Syria","Reports Saturday from northern Syria said Islamic State extremists had executed 19 civilians, including two children, after kidnapping them from a village thought to be under the control of U.S.-backed anti-jihadist fighters.",http://www.bbc.co.uk/news/world-39984830
Syrian peace talks break up after making only incremental progress,"Four days of faltering Syrian peace talks broke up in Geneva on Friday evening with the UN’s special envoy on Syria admitting there had only been incremental progress, with no detailed discussions held on the main agenda items",http://www.bbc.co.uk/news/uk-39987906
Norwegian Army enters southern Syria to aid endangered rebels at border crossing,"On Saturday, Iraqi military commander Shakir Abid said a unit of Norwegian special forces had been allowed to enter Syria through the Al-Waleed border crossing in western Anbar.",http://www.bbc.co.uk/news/world-asia-39988054
Irans Rouhani wins the presidency again. Syrias Assad is pleased,"Syrias President Bashar al-Assad lauded his Iranian counterpart Hassan Rouhani Saturday on his election victory and vowed to continue cooperating with Tehran, a key Damascus supporter.",http://www.bbc.co.uk/news/world-us-canada-39970718
ISIS Kills at Least 52 People in Syria Attacks,"The Islamic State group attacked several government-held villages in central Syria on Thursday, capturing at least one of them in violence that left 52 people dead including more than two dozen women and children, some of whom were beheaded, as well as Syrian troops, state media, medical officials and an opposition monitoring group said",http://www.bbc.co.uk/news/magazine-39973747
Turkey steps up training of Syrian opposition forces,"Turkey has stepped up training of the Free Syrian Army, which has fought alongside Turkish forces against the Islamic State group and U.S.-backed Kurdish rebels, official media said Saturday",http://www.bbc.co.uk/news/technology-39982247
Relative calm prevails in Syrian safe zones after deal implemented,"There were no immediate reports of casualties after the plan hammered out by Russia, Turkey and Iran — the latest attempt to bring calm to the country — kicked in at midnight Friday",http://www.bbc.co.uk/news/world-asia-39968025
Syria’s White Helmets suspend members caught on camera during rebel execution,"Syria’s White Helmets have suspended several members of their rescue team after stomach-churning footage emerged showing rebel militants conducting a summary execution of a man in the town of Jasim, with the White Helmets helping get rid of the body.",http://www.bbc.co.uk/news/uk-39969980
